"name","playerid","new_L","L","Source","L_adj_rate"
"Chavez Fernander","sa3007240",0.054,NA,NA,NA
"Chay Yeager","sa3023254",0.0562,NA,NA,NA
"Chayce McDermott","29866",2.35680117647059,2.293,"REZ1",1.02782432467099
"Chazz Martinez","sa3020468",0.0547,NA,NA,NA
"Chen ZhongAo Zhuang","sa3018174",2.03435,NA,NA,NA
"ChenWei Lin","sa3022876",0.0742,NA,NA,NA
"Chester Pimentel","sa877342",0.0514,NA,NA,NA
"Chi Chi Gonzalez","14663",0.990357142857143,3.338,"REZ1",0.296691774373021
"ChihJung Liu","sa3014675",3.0334,NA,NA,NA
"Chris Archer","6345",0.0685,NA,NA,NA
"Chris Barraza","sa3022649",0.0584,NA,NA,NA
"Chris Bassitt","12304",10.7295647058824,10.792,"REZ1",0.994214668817861
"Chris Campos","sa3020396",2.532,NA,NA,NA
"Chris Clark","sa3022874",0.0823,NA,NA,NA
"Chris Clarke","sa3011411",2.03315,NA,NA,NA
"Chris Devenski","12763",1.12093941176471,1.568,"REZ1",0.714884828931573
"Chris Ellis","16125",2.0377,NA,NA,NA
"Chris Flexen","13896",3.77418235294118,9.812,"REZ1",0.38464964868948
"Chris Gau","sa3007728",2.0326,NA,NA,NA
"Chris Gerard","sa3017507",0.054,NA,NA,NA
"Chris Jefferson","sa3017816",0.0586,NA,NA,NA
"Chris Kachmar","sa1170503",2.53575,NA,NA,NA
"Chris Kean","sa3023576",0.0597,NA,NA,NA
"Chris Lincoln","sa3011130",0.0568,NA,NA,NA
"Chris Martin","11847",1.99428588235294,2.981,"REZ1",0.668998954160665
"Chris Mauloni","sa3014977",0.0563,NA,NA,NA
"Chris Mazza","14151",0.0525,NA,NA,NA
"Chris McElvain","sa3020806",0.0762,NA,NA,NA
"Chris McMahon","sa3014429",0.0817,NA,NA,NA
"Chris Mokma","sa3011750",0.0554,NA,NA,NA
"Chris Muller","sa3006811",0.0511,NA,NA,NA
"Chris Murphy","26214",1.10384623529412,2.448,"REZ1",0.450917579777009
"Chris Paddack","20099",5.11257647058823,4.686,"REZ1",1.09103211066757
"Chris Rodriguez","22310",1.53145,NA,NA,NA
"Chris Roycroft","31261",2.79091764705882,2.038,"REZ1",1.3694394735323
"Chris Sale","10603",6.34782235294118,4.747,"REZ1",1.33722821844137
"Chris Stratton","13761",2.67005058823529,2.32,"REZ1",1.15088387423935
"Chris Vallimont","24935",2.52585,NA,NA,NA
"Chris Villaman","sa3023559",0.0762,NA,NA,NA
"Chris Williams Jr","sa3020466",0.0675,NA,NA,NA
"Chris Wright","sa3011531",0.0531,NA,NA,NA
"Christian Avendano","sa3015777",0.0612,NA,NA,NA
"Christian Chamberlain","sa3014486",0.0513,NA,NA,NA
"Christian Ciuffetelli","sa3020455",0.0575,NA,NA,NA
"Christian Cosby","sa3007245",0.0524,NA,NA,NA
"Christian Edwards","sa3017691",0.0591,NA,NA,NA
"Christian Fernandez","sa917688",0.0712,NA,NA,NA
"Christian MacLeod","sa3018005",2.53465,NA,NA,NA
"Christian McGowan","sa3017896",1.0335,NA,NA,NA
"Christian Mejias","sa946165",0.0721,NA,NA,NA
"Christian Montes De Oca","sa3018207",1.52525,NA,NA,NA
"Christian Oppor","sa3022950",0.089,NA,NA,NA
"Christian Roa","sa3014477",2.0159815,NA,NA,NA
"Christian Rodriguez","sa3022360",0.0683,NA,NA,NA
"Christian Romero","sa3016260",3.03295,NA,NA,NA
"Christian Ruebeck","sa3020900",0.0557,NA,NA,NA
"Christian Scott","30107",2.61441666666667,5.545,"REZ1",0.471490832581906
"Christian Suarez","sa3009222",2.5248,NA,NA,NA
"Christian Tripp","sa3007610",0.0569,NA,NA,NA
"Christian Young","sa3023437",0.0706,NA,NA,NA
"Christian Zazueta","sa3018867",0.071,NA,NA,NA
"Christopher Hernandez","sa3024217",0.0913,NA,NA,NA
"Christopher Troye","sa3017530",1.02595,NA,NA,NA
"Christopher Vasquez","sa3015218",0.0695,NA,NA,NA
"Cionel Perez","19614",2.22528470588235,2.413,"REZ1",0.922206674630068
"Clark Cota","sa3006802",0.0589,NA,NA,NA
"Clarke Schmidt","19899",7.06589882352941,6.35,"REZ1",1.11273997220936
"Claudio Galva","sa3016274",0.0731,NA,NA,NA
"Claudio Gatier","sa3021477",0.0608,NA,NA,NA
"Clay Aguilar","sa3015003",0.0496,NA,NA,NA
"Clay Helvey","sa3007459",1.66972975,NA,NA,NA
"Clay Holmes","13649",6.85317764705882,3.992,"REZ1",1.71672786749971
"Clayton Andrews","23631",1.62404166666667,2.122,"REZ1",0.765335375431982
"Clayton Beeter","27494",1.26731576470588,0.468,"REZ1",2.70793966817496
"Clayton Kershaw","2036",3.48383647058824,3.958,"REZ1",0.880201230568023
"Clayton McGinness","sa1170265",0.0513,NA,NA,NA
"Cleiber Maldonado","sa3016846",0.0613,NA,NA,NA
"Cleiverth Perez","sa3002985",0.0565,NA,NA,NA
"Clevari Tejada","sa3021040",0.0787,NA,NA,NA
"Codi Heuer","23293",0.05,NA,NA,NA
"Cody Adcock","sa3023175",0.0574,NA,NA,NA
"Cody Bolton","23265",1.81152117647059,1.795,"REZ1",1.00920399803375
"Cody Bradford","27597",5.11566823529412,6.273,"REZ1",0.815505856096623
"Cody Carroll","17664",0.0513,NA,NA,NA
"Cody Deason","sa3007958",0.0732,NA,NA,NA
"Cody Greenhill","sa3017608",0.0567,NA,NA,NA
"Cody Laweryson","sa3010633",1.52605,NA,NA,NA
"Cody Mincey","sa3016707",0.0761,NA,NA,NA
"Cody Morris","25388",1.546625,1.658,"REZ1",0.932825693606755
"Cody Ponce","17920",0.0551,NA,NA,NA
"Cody Poteet","18769",1.76625764705882,3.91,"REZ1",0.451728298480518
"Cody Reed","15232",0.0503,NA,NA,NA
"Cody Scroggins","sa3011417",1.0263,NA,NA,NA
"Cody Sedlock","19357",2.0265,NA,NA,NA
"Cody Stashak","18088",0.5252,NA,NA,NA
"Cody Tucker","sa3022524",0.0552,NA,NA,NA
"Colby Langford","sa3022800",0.0729,NA,NA,NA
"Colby Morris","sa3014805",0.0658,NA,NA,NA
"Colby White","sa3011200",1.02765,NA,NA,NA
"Cole Ayers","sa3018791",2.02485,NA,NA,NA
"Cole Duensing","sa918090",0.0561,NA,NA,NA
"Cole Henry","sa3014446",2.41522,NA,NA,NA
"Cole Hillier","sa3023232",0.0574,NA,NA,NA
"Cole Irvin","19244",4.11106545454545,5.203,"REZ1",0.790133664144812
"Cole Kirschsieper","sa3020258",0.0771,NA,NA,NA
"Cole McDonald","sa3010652",1.02495,NA,NA,NA
"Cole Paplham","sa3020749",0.0488,NA,NA,NA
"Cole Patten","sa3020623",0.0717,NA,NA,NA
"Cole Percival","sa3014919",2.0349,NA,NA,NA
"Cole Ragans","21846",8.47692705882353,7.823,"REZ1",1.08359031814183
"Cole Sands","21461",3.14512117647059,3.52,"REZ1",0.893500334224599
"Cole Schoenwetter","sa3023567",0.0846,NA,NA,NA
"Cole Stupp","sa3021467",0.0675,NA,NA,NA
"Cole Sulser","15256",1.28368682352941,1.786,"REZ1",0.718749621237073
"Cole Uvila","sa3006804",0.0507,NA,NA,NA
"Cole Waites","25665",1.13796061538462,2.837,"REZ1",0.40111406957512
"Cole Wilcox","sa3014443",4.53515,NA,NA,NA
"Cole Winn","22113",1.65625036363636,1.729,"REZ1",0.957923865608076
"Coleman Crow","sa3015142",0.0663,NA,NA,NA
"Coleman Huntley III","sa3014912",0.0492,NA,NA,NA
"Colin Fields","sa3021985",0.0756,NA,NA,NA
"Colin Holderman","22361",2.78130352941176,2.504,"REZ1",1.11074422101109
"Colin McKee","sa918482",0.0538,NA,NA,NA
"Colin Peluse","sa3011126",2.5296,NA,NA,NA
"Colin Poche","19403",3.00340941176471,1.661,"REZ1",1.80819350497574
"Colin Rea","12317",7.00456235294118,8.597,"REZ1",0.814768215998741
"Colin Schmid","sa3007712",0.056,NA,NA,NA
"Colin Selby","24986",1.952534,1.544,"REZ1",1.26459455958549
"Collin Baumgartner","sa3023002",2.5271,NA,NA,NA
"Collin Kober","sa913150",0.0543,NA,NA,NA
"Collin Lowe","sa3019850",4.0298,NA,NA,NA
"Collin McHugh","7531",1.01064285714286,3.413,"REZ1",0.296115692101628
"Collin Snider","23307",2.89664588235294,3.041,"REZ1",0.952530707778014
"Collin Sullivan","sa3017192",0.0556,NA,NA,NA
"Collin Wiles","15106",3.52555,NA,NA,NA
"Colson Lawrence","sa3023210",0.0602,NA,NA,NA
"Colten Brewer","12997",1.51886388235294,4.385,"REZ1",0.346377168153464
"Colten Schmidt","sa3006765",0.0622,NA,NA,NA
"Colton Eastman","sa3008312",0.0697,NA,NA,NA
"Colton Gordon","sa3019426",1.7208,NA,NA,NA
"Colton Hock","sa915685",0.0505,NA,NA,NA
"Colton Johnson","sa3017750",1.5251,NA,NA,NA
"Connelly Early","sa3023308",3.53115,NA,NA,NA
"Conner Greene","16455",2.02585,NA,NA,NA
"Conner Loeprich","sa3006986",0.0739,NA,NA,NA
"Conner Menez","19199",0.0485,NA,NA,NA
"Connery Peters","sa3023030",0.0608,NA,NA,NA
"Connor Brogdon","21205",1.835256,2.665,"REZ1",0.688651407129456
"Connor Butler","sa3021727",0.0581,NA,NA,NA
"Connor Cooke","sa3017822",1.5252,NA,NA,NA
"Connor Curlis","sa3006707",0.0496,NA,NA,NA
"Connor Fenlong","sa3023034",0.0555,NA,NA,NA
"Connor Gillispie","26171",1.86156482352941,0.289,"REZ1",6.44140077345817
"Connor Grey","sa918420",0.0694,NA,NA,NA
"Connor Higgins","sa3006808",0.0511,NA,NA,NA
"Connor Holden","sa3020401",0.0519,NA,NA,NA
"Connor Housley","sa3024915",0.059,NA,NA,NA
"Connor Johnstone","sa3004190",0.0511,NA,NA,NA
"Connor Jones","sa738697",0.0685,NA,NA,NA
"Connor Lunn","sa3011189",0.0517,NA,NA,NA
"Connor McCullough","sa3020603",4.0326,NA,NA,NA
"Connor Noland","sa3020834",3.53335,NA,NA,NA
"Connor O'Halloran","sa3023219",0.0766,NA,NA,NA
"Connor Oliver","sa3023200",0.0758,NA,NA,NA
"Connor Overton","18376",1.46204166666667,1.108,"REZ1",1.31953219013237
"Connor Pellerin","sa3015012",0.0573,NA,NA,NA
"Connor Phillips","27649",2.05490105882353,2.059,"REZ1",0.998009256349456
"Connor Prielipp","sa3020808",0.072,NA,NA,NA
"Connor Prins","sa3022032",0.0627,NA,NA,NA
"Connor Sadzeck","13483",1.5258,NA,NA,NA
"Connor Schultz","sa3024948",0.0659,NA,NA,NA
"Connor Seabold","19695",1.10053577777778,2.843,"REZ1",0.387103685465275
"Connor Staine","sa3020739",0.0876,NA,NA,NA
"Connor Thomas","sa3010784",2.97456571428571,NA,NA,NA
"Connor Van Scoyoc","sa3010243",4.0409,NA,NA,NA
"Conor Dryer","sa3017131",0.0609,NA,NA,NA
"Conor Grady","sa3017534",0.0786,NA,NA,NA
"Conor Grammes","sa3011651",1.02635,NA,NA,NA
"Conor Larkin","sa3018092",0.0515,NA,NA,NA
"Conor Steinbaugh","sa3023419",0.0603,NA,NA,NA
"Cooper Adams","sa3023457",0.074,NA,NA,NA
"Cooper Benson","sa3019457",0.055,NA,NA,NA
"Cooper Bradford","sa3010310",0.0575,NA,NA,NA
"Cooper Chandler","sa3020641",0.0554,NA,NA,NA
"Cooper Criswell","24975",2.71398588235294,4.693,"REZ1",0.57830511023928
"Cooper Hjerpe","sa3020736",2.0328,NA,NA,NA
"Cooper McKeehan","sa3020183",0.0527,NA,NA,NA
"Corbin Burnes","19361",8.13639294117647,6.68,"REZ1",1.2180228953857
"Corbin Martin","19884",1.5294,NA,NA,NA
"Corey Avant","sa3023137",2.53225,NA,NA,NA
"Corey Kluber","2429",1.144,3.842,"REZ1",0.29776158250911
"Corey Knebel","15010",1.0249,NA,NA,NA
"Corey Oswalt","13677",0.0598,NA,NA,NA
"Cory Abbott","20277",2.66304166666667,0.852,"REZ1",3.12563575899844
"Cory Lewis","sa3020702",1.58147033333333,NA,NA,NA
"Cory Wall","sa3022944",0.0659,NA,NA,NA
"Craig Kimbrel","6655",3.01325529411765,2.687,"REZ1",1.12141990849187
"Craig Stammen","7274",0.0499,NA,NA,NA
"Craig Yoho","sa3023032",2.39806833333333,NA,NA,NA
"Cre Finfrock","sa829399",0.0529,NA,NA,NA
"Cristhian Tortosa","sa920454",0.0587,NA,NA,NA
"Cristhofer Gonzalez","sa3019156",0.0607,NA,NA,NA
"Cristian Charle","sa3006407",0.0522,NA,NA,NA
"Cristian Diaz","sa3022040",0.0612,NA,NA,NA
"Cristian Galindo","sa3017986",0.0612,NA,NA,NA
"Cristian Hernandez","sa3005836",1.52595,NA,NA,NA
"Cristian Hernandez","sa3021788",0.0935,NA,NA,NA
"Cristian Javier","17606",2.11003670588235,4.131,"REZ1",0.510781095590015
"Cristian Jimenez","sa3017614",0.0596,NA,NA,NA
"Cristian Mena","27974",1.75623376470588,3.294,"REZ1",0.533161434336941
"Cristian Nunez","sa3019130",0.0815,NA,NA,NA
"Cristian Rueda","sa3019172",0.0837,NA,NA,NA
"Cristobal Abreu","sa3022169",0.0825,NA,NA,NA
"Cristofer Gomez","sa3019567",0.0547,NA,NA,NA
"Cristofer Melendez","sa873429",0.0526,NA,NA,NA
"Cristofer Mezquita","sa3006374",0.0822,NA,NA,NA
"Cristofer Ogando","20667",0.053,NA,NA,NA
"Cristofer Soriano","sa3021827",0.0621,NA,NA,NA
"Cristofher Carrasco","sa3020335",0.0668,NA,NA,NA
"Cristopher Castro","sa3016218",0.0775,NA,NA,NA
"Cristopher Cruz","sa3015301",0.0813,NA,NA,NA
"Cristopher Molina","sa828598",0.0592,NA,NA,NA
"Cristopher Presinal","sa3022233",0.0837,NA,NA,NA
"Cristopher Sanchez","20778",8.57979647058824,7.166,"REZ1",1.19729227889872
"Cruz Noriega","sa3005702",2.5318,NA,NA,NA
"Cullen Kafka","sa3017818",0.0696,NA,NA,NA
"Curtis Taylor","sa917970",0.053,NA,NA,NA
"Cy Nielson","sa3020321",2.52685,NA,NA,NA
"DJ Herz","26389",7.23161411764706,4.557,"REZ1",1.58692431811434
"DJ McCarty","sa3015222",0.0723,NA,NA,NA
"DJ Snelten","15949",0.0493,NA,NA,NA
"DL Hall","22207",3.29490705882353,4.117,"REZ1",0.800317478460901
"Dahian Santos","sa3015282",1.02925,NA,NA,NA
"Dailoui Abad","sa3016027",0.0554,NA,NA,NA
"Dairon De Jesus","sa3017765",0.0616,NA,NA,NA
"Daison Acosta","sa944989",2.0261,NA,NA,NA
"Daiveyon Whittle","sa3007617",0.0795,NA,NA,NA
"Dakody Clemmer","sa918421",0.0528,NA,NA,NA
"Dakota Chalmers","sa875017",1.02545,NA,NA,NA
"Dakota Donovan","sa3014783",0.0517,NA,NA,NA
"Dakota Hawkins","sa3023103",2.53095,NA,NA,NA
"Dakota Hudson","19206",3.01363623529412,4.937,"REZ1",0.610418520416066
"Dakota Mekkes","sa915807",0.0555,NA,NA,NA
"Dale Stanavich","sa3019833",2.52605,NA,NA,NA
"Dallas Keuchel","9434",2.9065,4.773,"REZ1",0.608946155457783
"Dallas Woolfolk","sa3007771",0.0588,NA,NA,NA
"Dalton Fowler","sa3023125",0.0602,NA,NA,NA
"Dalton Moats","sa738506",0.52515,NA,NA,NA
"Dalton Roach","sa3010567",2.5278,NA,NA,NA
"Dalton Rogers","sa3020479",0.0743,NA,NA,NA
"Dalton Stambaugh","sa3011252",0.0517,NA,NA,NA
"Damian Jimenez","sa3021491",0.0874,NA,NA,NA
"Damian Mendoza","sa3005430",1.0275,NA,NA,NA
"Damon CasettaStubbs","sa3008387",0.0576,NA,NA,NA
"Dan Altavilla","16507",1.49629129411765,2.593,"REZ1",0.577050248406343
"Dan Hammer","sa3011525",1.5273,NA,NA,NA
"Dan Straily","9460",2.0353,NA,NA,NA
"Dan Winkler","12237",0.0526,NA,NA,NA
"Dane Acker","sa3014924",1.05608314285714,NA,NA,NA
"Dane Dunning","19409",4.43203647058824,6.3,"REZ1",0.703497852474323
"Danery Tejada","sa3019673",0.0617,NA,NA,NA
"Daniel Bard","7115",2.47362388235294,2.638,"REZ1",0.937689113856308
"Daniel Blair","sa3020744",0.0609,NA,NA,NA
"Daniel Camarena","14467",2.52575,NA,NA,NA
"Daniel Castano","19805",0.612642857142857,2.022,"REZ1",0.302988554472234
"Daniel Corniel","sa3019395",0.0825,NA,NA,NA
"Daniel Duarte","17480",1.65695833333333,2.315,"REZ1",0.715748740100792
"Daniel Federman","sa3017460",0.0714,NA,NA,NA
"Daniel Gonzalez","sa3015957",0.0604,NA,NA,NA
"Daniel Gossett","16164",0.0696,NA,NA,NA
"Daniel Guerra","sa3019786",0.0844,NA,NA,NA
"Daniel Guerrero","sa3017789",0.0877,NA,NA,NA
"Daniel Harper","sa3020316",2.02595,NA,NA,NA
"Daniel Hudson","7146",1.611375,2.05,"REZ1",0.786036585365854
"Daniel Juarez","sa3011139",1.52465,NA,NA,NA
"Daniel Keaney","sa3023598",0.0801,NA,NA,NA
"Daniel Lloyd","sa3017538",0.0661,NA,NA,NA
"Daniel Lynch IV","21537",3.32316,4.046,"REZ1",0.821344537815126
"Daniel Martinez","sa3007734",0.063,NA,NA,NA
"Daniel Mejia","sa3017144",0.0924,NA,NA,NA
"Daniel Mengden","16980",0.0589,NA,NA,NA
"Daniel Missaki","sa741947",0.5259,NA,NA,NA
"Daniel Norris","13475",0.5395,1.762,"REZ1",0.306186152099886
"Daniel Nunan","sa3011529",0.0575,NA,NA,NA
"Daniel Nunez","sa3018805",0.0882,NA,NA,NA
"Daniel Nunez","sa3023597",0.0704,NA,NA,NA
"Daniel Palencia","27914",1.855324,2.42,"REZ1",0.766662809917355
"Daniel Ponce de Leon","16110",0.0569,NA,NA,NA
"Daniel Robert","21229",1.39008388235294,0.212,"REZ1",6.55699944506104
"Daniel Tillo","sa876284",0.0618,NA,NA,NA
"Daniel Zamora","17811",0.0512,NA,NA,NA
"Daniele Di Monte","sa3011340",0.063,NA,NA,NA
"Danis Correa","sa3002980",1.0269,NA,NA,NA
"Dannel Diaz","sa3020822",0.0591,NA,NA,NA
"Danny Carrion","sa3023214",0.06,NA,NA,NA
"Danny Cody","sa3010662",0.0575,NA,NA,NA
"Danny Coulombe","13293",2.41296117647059,2.327,"REZ1",1.03694077201143
"Danny Denz","sa3015368",0.0692,NA,NA,NA
"Danny Dopico","sa875346",0.0513,NA,NA,NA
"Danny Duffy","3542",1.03425,NA,NA,NA
"Danny Flatt","sa3023618",0.0814,NA,NA,NA
"Danny Hilario","sa3018865",0.0618,NA,NA,NA
"Danny Kirwin","sa3023553",0.0723,NA,NA,NA
"Danny Mendick","18889",1,NA,NA,NA
"Danny Moreno","sa3006615",0.0573,NA,NA,NA
"Danny Watson","sa3017952",2.5261,NA,NA,NA
"Danny Wilkinson","sa3020747",0.054,NA,NA,NA
"Danny Wirchansky","sa3023469",3.53365,NA,NA,NA
"Danny Young","18439",2.38707764705882,2.516,"REZ1",0.948759001215749
"Dante Biasi","sa3010647",0.0592,NA,NA,NA
"Dante Mendoza","sa3005361",0.0548,NA,NA,NA
"Dany Jimenez","21170",1.41171509090909,1.492,"REZ1",0.946189739215208
"Danyony Pulido","sa3015502",0.081,NA,NA,NA
"Darcy Longstaff","sa3022180",0.0943,NA,NA,NA
"Darian Rivero","sa3024528",0.096,NA,NA,NA
"Dariel Francia","sa3021526",0.0701,NA,NA,NA
"Dariel Polanco","sa3022419",0.0924,NA,NA,NA
"Darien Nunez","21197",0.0513,NA,NA,NA
"Darin Gillies","sa875269",0.0507,NA,NA,NA
"Dario Gardea","sa3007598",0.0535,NA,NA,NA
"Darius Vines","25928",2.16254166666667,2.823,"REZ1",0.766043806824891
"Darlin Alcantara","sa3011436",0.058,NA,NA,NA
"Darlin Mendez","sa3021035",0.0622,NA,NA,NA
"Darlin Noboa","sa3006821",0.061,NA,NA,NA
"Darlin Pinales","sa3016211",0.0564,NA,NA,NA
"Darlin Saladin","sa3015949",0.0717,NA,NA,NA
"Darling Florentino","sa3006901",0.0578,NA,NA,NA
"Darling Solano","sa3019246",0.0803,NA,NA,NA
"Darlyn De La Cruz","sa3019139",0.0613,NA,NA,NA
"Darrell Thompson","sa3020814",1.52485,NA,NA,NA
"Darren Bowen","sa3020945",0.0799,NA,NA,NA
"Darren McCaughan","20038",1.99197690909091,2.317,"REZ1",0.859722446737552
"Darren O'Day","3321",0.0516,NA,NA,NA
"Darvin Garcia","sa3011716",0.0549,NA,NA,NA
"Darwin Rodriguez","sa3018877",0.0645,NA,NA,NA
"Darwin Rodriguez","sa3021497",0.0806,NA,NA,NA
"Darwinzon Hernandez","19848",0.0476,NA,NA,NA
"Daulton Jefferies","19345",2.02216666666667,1.994,"REZ1",1.01412571046473
"Dauri Moreta","21101",1.52601164705882,-0.015,"REZ1",-101.734109803922
"Daury Cabrera","sa3005706",0.0717,NA,NA,NA
"Daury Vasquez","sa3021767",0.0891,NA,NA,NA
"Daury Zapata","sa3020986",0.0626,NA,NA,NA
"David  Landeta","sa3019523",0.0714,NA,NA,NA
"David Bednar","19569",3.51652117647059,4.161,"REZ1",0.845114437988606
"David Bracho","sa3019080",0.0829,NA,NA,NA
"David Buchanan","11176",2.10332781818182,1.675,"REZ1",1.25571810040706
"David Davalillo","sa3020448",0.0724,NA,NA,NA
"David Dominguez","sa3018885",0.0614,NA,NA,NA
"David Ellingson","sa873708",0.0514,NA,NA,NA
"David Festa","30056",5.75327294117647,5.555,"REZ1",1.03569269868163
"David Fletcher","17992",7,NA,NA,NA
"David Griffin","sa3015136",2.5299,NA,NA,NA
"David Hale","9756",0.0533,NA,NA,NA
"David Hess","16130",0.0553,NA,NA,NA
"David Leal","sa1171029",2.5284,NA,NA,NA
"David Lorduy","sa3019135",0.0776,NA,NA,NA
"David McKay","19814",0.0527,NA,NA,NA
"David Morgan","sa3020260",1.5255,NA,NA,NA
"David Morillo","sa3009610",0.0608,NA,NA,NA
"David Olivo","sa3016048",0.0626,NA,NA,NA
"David Parkinson","sa3004857",2.53365,NA,NA,NA
"David Peterson","20302",7.36861764705882,6.547,"REZ1",1.12549528746889
"David Phelps","6316",0.0505,NA,NA,NA
"David Price","3184",0.0483,NA,NA,NA
"David Robertson","8241",2.98589411764706,4.082,"REZ1",0.731478225783209
"David Rodriguez","sa3018810",0.087,NA,NA,NA
"David Rodriguez","sa3023659",0.0748,NA,NA,NA
"David Sanchez","sa917183",0.0581,NA,NA,NA
"David Sandlin","sa3020606",1.53355,NA,NA,NA
"David Tiburcio","sa3016010",0.0626,NA,NA,NA
"Davidxon Lara","sa3022127",0.06,NA,NA,NA
"Davis Daniel","27582",2.41014741176471,4.626,"REZ1",0.521000305180438
"Davis Feldman","sa3021464",0.0667,NA,NA,NA
"Davis Martin","21448",7.76495411764706,5.741,"REZ1",1.35254382819144
"Davis Polo","sa3019637",0.0745,NA,NA,NA
"Davis Schwab","sa3010651",0.0552,NA,NA,NA
"Davis Sharpe","sa3018112",2.02645,NA,NA,NA
"Davison Palermo","sa3020480",0.0591,NA,NA,NA
"Dawel Serda","sa3021486",0.0908,NA,NA,NA
"Dawil Almonte","sa3019084",0.0551,NA,NA,NA
"Dawry Segura","sa3017102",0.0594,NA,NA,NA
"Dax Fulton","sa3014535",0.0687,NA,NA,NA
"Dayan Reinoso","sa3017900",0.0575,NA,NA,NA
"Dayeison Arias","sa3002812",0.0522,NA,NA,NA
"Daysbel Hernandez","20271",2.28845305882353,1.384,"REZ1",1.65350654539272
"Dean Kremer","19350",8.08473176470588,7.321,"REZ1",1.10432068907333
"Deck McGuire","11596",0.076,NA,NA,NA
"Declan Cronin","25645",2.82673411764706,2.281,"REZ1",1.23925213399696
"Dedniel Nunez","23055",1.99377976470588,3.054,"REZ1",0.652842097153203
"Deibi Rodriguez","sa3022137",0.0907,NA,NA,NA
"Deiver Oliveros","sa3021994",0.0614,NA,NA,NA
"Deivi Garcia","20276",1.76880509090909,1.469,"REZ1",1.20408787672504
"Deivy Cruz","sa3016013",0.0541,NA,NA,NA
"Deivy Paulino","sa3024516",0.0909,NA,NA,NA
"Dellin Betances","6216",0.0523,NA,NA,NA
"Delvin Capellan","sa3002996",0.0562,NA,NA,NA
"Delvis Alegre","sa3006352",0.0565,NA,NA,NA
"Demarcus Evans","21087",0.0524,NA,NA,NA
"Dencer Geraldo","sa3017619",0.0616,NA,NA,NA
"Denis Reguillo","sa3019535",0.0585,NA,NA,NA
"Denison Sanchez","sa3018907",0.0626,NA,NA,NA
"Dennis Boatman","sa3017778",0.0565,NA,NA,NA
"Dennis Santana","17878",2.42206705882353,2.124,"REZ1",1.14033289021823
"Denny Bentley","sa3007931",0.0504,NA,NA,NA
"Denny Larrondo","sa3010654",0.0829,NA,NA,NA
"Denny Lima","sa3021787",0.0804,NA,NA,NA
"Denny Roman","sa3007608",0.0569,NA,NA,NA
"Denyi Reyes","20526",0.616857142857143,2.002,"REZ1",0.308120450977594
"Deolis Guerra","8410",0.0523,NA,NA,NA
"Dereck Rodriguez","14509",0.893642857142857,2.997,"REZ1",0.298179131512465
"Derek Casey","sa3008259",0.0605,NA,NA,NA
"Derek Corro","sa3019259",0.065,NA,NA,NA
"Derek Craft","sa3006824",0.0508,NA,NA,NA
"Derek Diamond","sa3020470",0.0768,NA,NA,NA
"Derek Holland","4141",0.0499,NA,NA,NA
"Derek Law","13133",3.61603647058824,3.253,"REZ1",1.1116005135531
"Derek Molina","sa3005202",0.0554,NA,NA,NA
"Derek True","sa3023126",0.074,NA,NA,NA
"Derek West","sa3010557",0.0511,NA,NA,NA
"Deretd Parra","sa3011624",0.0577,NA,NA,NA
"Dermis Ordonez","sa3019145",0.0622,NA,NA,NA
"Derrick Edington","sa3023665",0.0556,NA,NA,NA
"Destin Dotson","sa3009988",0.055,NA,NA,NA
"Develson Aria","sa3008726",0.0797,NA,NA,NA
"Devereaux Harrison","sa3020259",3.0375,NA,NA,NA
"Devin Conn","sa3007252",0.0527,NA,NA,NA
"Devin Kirby","sa3022908",0.0571,NA,NA,NA
"Devin Smeltzer","19487",2.84195833333333,1.913,"REZ1",1.48560289248998
"Devin Sweet","25348",2.84875647058824,2.585,"REZ1",1.10203345090454
"Devin Williams","15816",2.75370470588235,3.627,"REZ1",0.759223795390778
"Devon Roedahl","sa3010774",0.0555,NA,NA,NA
"Deybi Salcedo","sa3022389",0.0894,NA,NA,NA
"Deyer Zapata","sa3016063",0.0601,NA,NA,NA
"Deylen Miley","sa3017366",0.0753,NA,NA,NA
"Deyni Olivero","sa917869",0.0728,NA,NA,NA
"Dheygler Gimenez","sa3011879",0.0858,NA,NA,NA
"Dianye Florentino","sa3016252",0.0614,NA,NA,NA
"Didier Fuentes","sa3018841",0.0709,NA,NA,NA
"Didier Vargas","sa3002981",0.0543,NA,NA,NA
"Diego A Castillo","19906",4,NA,NA,NA
"Diego Barrera","sa3023203",0.052,NA,NA,NA
"Diego Castillo","17496",1.3561244,1.292,"REZ1",1.04963188854489
"Diego Chiquillo","sa3016582",0.0602,NA,NA,NA
"Diego Dominguez","sa3019063",0.0613,NA,NA,NA
"Diego Dugarte","sa3019293",0.091,NA,NA,NA
"Diego Granado","sa3014931",0.0606,NA,NA,NA
"Diego Hernandez","sa3019385",0.0618,NA,NA,NA
"Diego Navarro","sa3016591",0.0722,NA,NA,NA
"Diego Palmero","sa3021573",0.0956,NA,NA,NA
"Dielmon Urena","sa3016485",0.0636,NA,NA,NA
"Dietrich Enns","13932",0.68205,NA,NA,NA
"Dikember Sanchez","sa3016033",0.0552,NA,NA,NA
"Dilan Figueredo","sa3019555",0.057,NA,NA,NA
"Dillon Larsen","sa3018263",0.0575,NA,NA,NA
"Dillon Maples","14672",0.0516,NA,NA,NA
